label,category,source,source_id
DisplayName,object,openimages_boxable_v7,LabelName
Accordion,object,openimages_boxable_v7,/m/0mkg
Adhesive tape,object,openimages_boxable_v7,/m/03m3vtv
Aircraft,object,openimages_boxable_v7,/m/0k5j
Alarm clock,object,openimages_boxable_v7,/m/046dlr
Alpaca,object,openimages_boxable_v7,/m/0pcr
Ambulance,object,openimages_boxable_v7,/m/012n7d
Animal,object,openimages_boxable_v7,/m/0jbk
Ant,object,openimages_boxable_v7,/m/0_k2
Antelope,object,openimages_boxable_v7,/m/0czz2
Apple,object,openimages_boxable_v7,/m/014j1m
Armadillo,object,openimages_boxable_v7,/m/0xfy
Artichoke,object,openimages_boxable_v7,/m/047v4b
Auto part,object,openimages_boxable_v7,/m/08dz3q
Axe,object,openimages_boxable_v7,/m/0c2jj
Backpack,object,openimages_boxable_v7,/m/01940j
Bagel,object,openimages_boxable_v7,/m/01fb_0
Baked goods,object,openimages_boxable_v7,/m/052lwg6
Balance beam,object,openimages_boxable_v7,/m/0l3ms
Ball (Object),object,openimages_boxable_v7,/m/018xm
Balloon,object,openimages_boxable_v7,/m/01j51
Banana,object,openimages_boxable_v7,/m/09qck
Band-aid,object,openimages_boxable_v7,/m/0j496
Banjo,object,openimages_boxable_v7,/m/018j2
Barge,object,openimages_boxable_v7,/m/01btn
Barrel,object,openimages_boxable_v7,/m/02zn6n
Baseball bat,object,openimages_boxable_v7,/m/03g8mr
Baseball glove,object,openimages_boxable_v7,/m/03grzl
Bat (Animal),object,openimages_boxable_v7,/m/01h44
Bathroom accessory,object,openimages_boxable_v7,/m/0h8nr_l
Bathroom cabinet,object,openimages_boxable_v7,/m/04y4h8h
Bathtub,object,openimages_boxable_v7,/m/03dnzn
Beaker,object,openimages_boxable_v7,/m/0d20w4
Bear,object,openimages_boxable_v7,/m/01dws
Beard,object,openimages_boxable_v7,/m/015h_t
Bed,object,openimages_boxable_v7,/m/03ssj5
Bee,object,openimages_boxable_v7,/m/01h3n
Beehive,object,openimages_boxable_v7,/m/01gllr
Beer,object,openimages_boxable_v7,/m/01599
Beetle,object,openimages_boxable_v7,/m/020jm
Bell pepper,object,openimages_boxable_v7,/m/0jg57
Belt,object,openimages_boxable_v7,/m/0176mf
Bench,object,openimages_boxable_v7,/m/0cvnqh
Bicycle,object,openimages_boxable_v7,/m/0199g
Bicycle helmet,object,openimages_boxable_v7,/m/03p3bw
Bicycle wheel,object,openimages_boxable_v7,/m/01bqk0
Bidet,object,openimages_boxable_v7,/m/01vbnl
Billboard,object,openimages_boxable_v7,/m/01knjb
Billiard table,object,openimages_boxable_v7,/m/04p0qw
Binoculars,object,openimages_boxable_v7,/m/0lt4_
Bird,object,openimages_boxable_v7,/m/015p6
Blender,object,openimages_boxable_v7,/m/02pjr4
Blue jay,object,openimages_boxable_v7,/m/01f8m5
Boat,object,openimages_boxable_v7,/m/019jd
Bomb,object,openimages_boxable_v7,/m/0ct4f
Book,object,openimages_boxable_v7,/m/0bt_c3
Bookcase,object,openimages_boxable_v7,/m/03__z0
Boot,object,openimages_boxable_v7,/m/01b638
Bottle,object,openimages_boxable_v7,/m/04dr76w
Bottle opener,object,openimages_boxable_v7,/m/04f5ws
Bow and arrow,object,openimages_boxable_v7,/m/01g3x7
Bowl,object,openimages_boxable_v7,/m/04kkgm
Bowling equipment,object,openimages_boxable_v7,/m/07pj7bq
Box,object,openimages_boxable_v7,/m/025dyy
Boy,object,openimages_boxable_v7,/m/01bl7v
